object,Sample.Label,size,distance,Effort
848,3175,1,4.6,20
849,3180,1,0.9,20
850,3181,1,1.7,20
851,3181,1,2.1,20
852,3181,1,2.6,20
853,3181,1,3.2,20
854,3181,1,2.5,20
855,3181,1,2.7,20
856,3181,1,1.9,20
857,3181,1,2.2,20
858,3181,1,2.2,20
859,3181,1,3,20
860,3181,1,3.5,20
861,3181,1,0.3,20
862,3181,1,2.4,20
867,3182,1,2.5,20
870,3183,1,0,20
872,3183,1,4.8,20
874,3184,1,5.8,20
876,3184,1,2.2,20
877,3184,1,2.5,20
880,3184,1,4.7,20
881,3184,1,5,20
878,3185,1,2.9,20
879,3185,1,3.5,20
882,3185,1,0,20
884,3185,1,5.2,20
885,3185,1,2.5,20
886,3185,1,2.5,20
887,3185,1,0,20
888,3185,1,0.6,20
889,3185,1,2.4,20
890,3185,1,2.4,20
891,3185,1,2.5,20
892,3185,1,2,20
893,3185,1,0.9,20
896,3186,1,0.6,20
900,3186,1,3.5,20
901,3186,1,2.4,20
902,3186,1,2.4,20
903,3186,1,2.2,20
904,3187,1,0.2,20
905,3187,1,0.2,20
906,3187,1,0.1,20
907,3187,1,0.1,20
908,3187,1,0.4,20
909,3187,1,0.6,20
910,3187,1,1.1,20
911,3188,1,0.1,20
912,3188,1,0.6,20
913,3188,1,0.9,20
914,3188,1,1.3,20
915,3188,1,1.4,20
916,3188,1,1.2,20
917,3188,1,3.3,20
918,3188,1,3.3,20
919,3188,1,1.5,20
920,3189,1,0.3,20
921,3189,1,3,20
922,3189,1,3.7,20
929,3200,1,9,20
930,3201,1,7,20
931,3201,1,6.8,20
932,3201,1,8,20
933,3205,1,2.7,20
934,3205,1,5.5,20
935,3205,1,5.5,20
936,3205,1,5.8,20
937,3205,1,5.6,20
938,3205,1,6.3,20
939,3205,1,6.2,20
940,3205,1,6,20
941,3205,1,5.2,20
942,3205,1,6.2,20
943,3205,1,4.6,20
944,3206,1,0.5,20
945,3206,1,1,20
946,3206,1,2.6,20
947,3206,1,3.4,20
948,3207,1,3.6,20
949,3207,1,2.5,20
950,3207,1,0.4,20
951,3207,1,1.2,20
952,3207,1,5,20
953,3207,1,5.8,20
954,3207,1,5.5,20
955,3207,1,3.4,20
956,3207,1,3.6,20
957,3209,1,2.1,20
958,3209,1,2.6,20
961,3209,1,3.3,20
974,3210,1,5,20
975,3210,1,3.2,20
976,3218,1,0.9,20
977,3218,1,0.3,20
978,3218,1,0.2,20
980,3219,1,0.1,20
981,3219,1,1.1,20
982,3219,1,0.5,20
983,3219,1,1.6,20
984,3219,1,1.1,20
985,3219,1,1.1,20
986,3219,1,2.2,20
988,3221,1,1.4,20
989,3221,1,1.4,20
