join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
133,TR121,A,-54.58777699,158.900945,165.80455,2018-02-10T06:49:16Z,AP,P,0.4,F,S,JB,5
150,TR121,A,-54.58831997,158.891606,229.604645,2018-02-10T06:34:13Z,AP,P,5,D,S,JB,8
144,TR121,A,-54.588168,158.89343,192.91777,2018-02-10T06:38:54Z,AP,P,0.6,F,S,JB,3
2312,TR125,A,-54.58359802,158.875941,187.291779,2018-02-11T01:02:26Z,AP,P,1.2,F,S,PP,3
2309,TR125,A,-54.58208903,158.87857,159.826996,2018-02-11T00:52:52Z,AP,P,1.3,F,S,PP,5
2309,TR125,A,-54.58207503,158.878403,161.516266,2018-02-11T00:53:39Z,AP,P,4.8,F,S,PP,5
2309,TR125,A,-54.58151696,158.879219,155.077332,2018-02-11T00:50:41Z,AP,P,1.3,F,S,PP,5
2309,TR125,A,-54.58187898,158.878718,158.288544,2018-02-11T00:51:55Z,AP,P,7,F,S,PP,5
2310,TR125,A,-54.58327498,158.876166,182.99617,2018-02-11T01:00:19Z,AP,P,4,F,S,PP,5
2310,TR125,A,-54.58276302,158.876888,174.705292,2018-02-11T00:57:12Z,AP,P,0.8,F,S,PP,5
2297,TR123,A,-54.58396104,158.888435,148.503387,2018-02-10T23:26:42Z,AP,P,1.7,D,S,PP,1
2338,TR127,A,-54.58048901,158.864746,215.973389,2018-02-11T02:49:02Z,AP,P,1.5,D,S,JB,8
2345,TR128,A,-54.579856,158.864104,205.997482,2018-02-11T03:14:14Z,AP,P,1.2,D,S,JB,8
2339,TR127,A,-54.58236697,158.867755,208.780182,2018-02-11T02:33:51Z,AP,P,10,D,S,JB,6
2330,TR127,A,-54.58157002,158.866821,212.19104,2018-02-11T02:37:40Z,AP,P,9.5,U,S,JB,5
2333,TR127,A,-54.58130901,158.866139,210.275085,2018-02-11T02:39:57Z,AP,P,9,F,S,JB,2
2333,TR127,A,-54.58118102,158.86642,211.299866,2018-02-11T02:40:26Z,AP,P,12,F,S,JB,2
2094,TR113,A,-54.64779904,158.832954,198.252289,2018-02-09T03:59:27Z,AP,P,1.5,D,S,JB,5
2138,TR114,A,-54.64695398,158.832341,190.711716,2018-02-09T04:26:41Z,AP,P,1.9,D,S,JB,5
2094,TR113,A,-54.64784497,158.833472,198.142715,2018-02-09T03:56:19Z,AP,P,6,D,S,JB,5
2105,TR113,A,-54.64828603,158.835399,207.026367,2018-02-09T03:48:00Z,AP,P,0.5,F,S,JB,2
2105,TR113,A,-54.64816298,158.835465,199.321823,2018-02-09T03:49:08Z,AP,P,16,D,S,JB,2
2105,TR113,A,-54.64819701,158.835446,200.849808,2018-02-09T03:49:26Z,AP,P,12,D,S,JB,2
2167,TR115,A,-54.63819497,158.83683,283.074524,2018-02-09T05:51:05Z,AP,P,0.5,D,S,JB,2
2167,TR115,A,-54.63817502,158.836925,282.079529,2018-02-09T05:51:29Z,AP,P,0.4,D,S,JB,2
2167,TR115,A,-54.63817896,158.836967,280.027008,2018-02-09T05:52:52Z,AP,P,0.7,D,S,JB,2
