join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
3008,TR183,A,-54.59544903,158.910444,195.861511,2018-03-07T01:05:04Z,WHP,B,2.2,D,S,PP,8
3008,TR183,A,-54.59518801,158.910793,194.554352,2018-03-07T01:07:46Z,WHP,B,1.1,D,S,PP,8
3008,TR183,A,-54.59542899,158.910491,195.888855,2018-03-07T01:06:36Z,WHP,B,1.9,D,S,PP,8
3008,TR183,A,-54.59542899,158.910491,195.888855,2018-03-07T01:06:52Z,WHP,B,0.4,D,S,PP,8
3009,TR183,A,-54.59294996,158.912411,148.848145,2018-03-07T01:15:26Z,WHP,B,1.7,U,S,PP,8
3006,TR183,A,-54.592323,158.912677,124.115227,2018-03-07T01:18:30Z,WHP,B,2.2,U,S,PP,1
3009,TR183,A,-54.59300101,158.91244,150.221527,2018-03-07T01:14:55Z,WHP,B,0.3,D,S,PP,8
3009,TR183,A,-54.59294996,158.912424,148.844452,2018-03-07T01:15:17Z,WHP,B,1.1,U,S,PP,8
3010,TR183,A,-54.59231302,158.912675,123.996696,2018-03-07T01:18:37Z,WHP,B,2.3,U,S,PP,8
3010,TR183,A,-54.59230699,158.912666,124.003746,2018-03-07T01:18:51Z,WHP,B,2.5,U,S,PP,8
2895,TR177,A,-54.69287901,158.820935,196.482758,2018-03-05T04:46:46Z,WHP,B,3.1,U,S,PP,8
174,TR142,C,-54.75797396,158.800966,255.143646,2018-03-01T05:06:26Z,WHP,B,1.1,D,S,PP,3
176,TR142,C,-54.75793297,158.800993,258.298615,2018-03-01T05:06:56Z,WHP,B,3.7,U,T,PP,8
174,TR142,C,-54.75797597,158.800801,254.106903,2018-03-01T05:05:43Z,WHP,B,2.4,D,S,PP,3
174,TR142,C,-54.757966,158.800836,255.171326,2018-03-01T05:06:04Z,WHP,B,0,D,S,PP,3
167,TR142,A,-54.75790297,158.802687,279.884277,2018-03-01T05:13:46Z,WHP,B,0.4,U,S,PP,3
167,TR142,A,-54.75788704,158.80276,286.056061,2018-03-01T05:14:10Z,WHP,B,1,D,S,PP,3
2498,TR142,B,-54.757908,158.801896,265.440277,2018-03-01T05:11:30Z,WHP,B,1.2,U,S,PP,4
2498,TR142,B,-54.75788604,158.801926,266.455841,2018-03-01T05:11:44Z,WHP,B,2.4,U,S,PP,4
165,TR142,A,-54.75751497,158.803985,299.875275,2018-03-01T05:20:24Z,WHP,B,1.5,D,S,PP,2
2505,TR143,A,-54.75672003,158.805249,281.003632,2018-03-01T05:27:23Z,WHP,B,0.4,D,S,PP,8
165,TR142,A,-54.75750499,158.803922,302.865692,2018-03-01T05:16:50Z,WHP,B,2.5,U,S,PP,2
165,TR142,A,-54.75750701,158.803929,303.388,2018-03-01T05:17:04Z,WHP,B,0.8,U,S,PP,2
2505,TR143,A,-54.75669396,158.805234,283.266327,2018-03-01T05:28:09Z,WHP,B,1.5,D,S,PP,8
2505,TR143,A,-54.75668197,158.805239,280.338745,2018-03-01T05:28:30Z,WHP,B,1.2,D,S,PP,8
2505,TR143,A,-54.75669396,158.805249,282.982025,2018-03-01T05:27:45Z,WHP,B,1.3,D,S,PP,8
2505,TR143,A,-54.75669002,158.805229,283.266327,2018-03-01T05:28:06Z,WHP,B,2.5,D,S,PP,8
2500,TR142,D,-54.75804504,158.800173,248.773697,2018-03-01T04:59:59Z,WHP,B,2,U,S,PP,8
2500,TR142,D,-54.75804403,158.800192,250.621826,2018-03-01T05:00:13Z,WHP,B,1.2,U,S,PP,8
2469,TR141,B,-54.77143697,158.815432,220.730331,2018-02-24T00:59:43Z,WHP,B,2.8,U,S,JB,1
2500,TR142,D,-54.758038,158.800114,247.113022,2018-03-01T04:58:57Z,WHP,B,0.8,U,T,PP,8
2500,TR142,D,-54.75808301,158.80041,255.6017,2018-03-01T05:02:06Z,WHP,B,3.1,D,S,PP,8
2500,TR142,D,-54.75809399,158.800386,257.441162,2018-03-01T05:02:14Z,WHP,B,4.8,D,S,PP,8
