join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2618,TR150,A,-54.73024998,158.810191,243.708359,2018-03-02T05:06:00Z,2,F,S,PP,8
2618,TR150,A,-54.73017999,158.810381,246.578857,2018-03-02T05:04:43Z,2.7,F,S,PP,8
2618,TR150,A,-54.730181,158.810379,247.806381,2018-03-02T05:04:55Z,4.2,F,S,PP,8
2618,TR150,A,-54.73027001,158.810127,242.063965,2018-03-02T05:06:33Z,1,F,S,PP,8
2602,TR150,A,-54.730282,158.810114,242.069275,2018-03-02T05:06:47Z,2.4,F,S,PP,2
2618,TR150,A,-54.73025199,158.810186,243.708359,2018-03-02T05:06:03Z,2.9,F,S,PP,8
2618,TR150,A,-54.73026901,158.810123,242.645233,2018-03-02T05:06:26Z,1,F,S,PP,8
196,TR152,A,-54.73131004,158.810133,236.613617,2018-03-02T05:38:55Z,0.4,U,S,JB,5
196,TR152,A,-54.73130501,158.810148,236.566452,2018-03-02T05:39:02Z,1.5,U,S,JB,5
2602,TR150,A,-54.73029499,158.809974,237.450134,2018-03-02T05:07:29Z,0.5,F,S,PP,2
196,TR152,A,-54.73124801,158.809998,232.85379,2018-03-02T05:37:42Z,0.4,U,S,JB,5
2792,TR169,A,-54.72632197,158.843497,301.814819,2018-03-04T01:18:25Z,3,D,S,JB,8
2792,TR169,A,-54.72632096,158.843494,306.698608,2018-03-04T01:18:55Z,5,U,S,JB,8
2792,TR169,A,-54.72632197,158.843499,302.165863,2018-03-04T01:18:17Z,3.2,D,S,JB,8
2792,TR169,A,-54.72632901,158.843499,302.165863,2018-03-04T01:18:21Z,3.1,D,S,JB,8
2792,TR169,A,-54.72626799,158.843462,305.242584,2018-03-04T01:20:05Z,1.8,U,S,JB,8
2792,TR169,A,-54.72631803,158.843493,307.768402,2018-03-04T01:19:07Z,5,U,S,JB,8
2792,TR169,A,-54.72632498,158.843491,307.768402,2018-03-04T01:19:15Z,6,U,S,JB,8
2792,TR169,A,-54.72607001,158.843349,312.179077,2018-03-04T01:23:06Z,1.4,U,S,JB,8
2792,TR169,A,-54.72623002,158.843455,305.063721,2018-03-04T01:20:27Z,1.8,U,S,JB,8
2792,TR169,A,-54.726227,158.84345,305.043976,2018-03-04T01:20:31Z,1.7,U,S,JB,8
2792,TR169,A,-54.72606397,158.843351,320.634369,2018-03-04T01:23:45Z,2.1,U,S,JB,8
2792,TR169,A,-54.72606397,158.843351,317.267487,2018-03-04T01:23:49Z,3.2,U,S,JB,8
2792,TR169,A,-54.726069,158.843354,312.248413,2018-03-04T01:23:10Z,2,U,S,JB,8
2792,TR169,A,-54.72607302,158.843355,316.802643,2018-03-04T01:23:30Z,1,U,S,JB,8
2792,TR169,A,-54.72700903,158.843959,282.529022,2018-03-04T01:10:32Z,2.1,U,S,JB,8
2792,TR169,A,-54.72696402,158.843938,286.719086,2018-03-04T01:10:50Z,0.9,U,S,JB,8
2792,TR169,A,-54.72746702,158.84441,256.695038,2018-03-04T01:07:01Z,2.1,U,S,JB,8
2792,TR169,A,-54.72701498,158.843936,284.767883,2018-03-04T01:10:10Z,2.9,U,S,JB,8
2792,TR169,A,-54.72644904,158.843525,307.847015,2018-03-04T01:14:45Z,0.1,F,S,JB,8
2792,TR169,A,-54.72644099,158.843517,307.904846,2018-03-04T01:15:05Z,0.7,F,S,JB,8
2792,TR169,A,-54.72682798,158.843671,297.806671,2018-03-04T01:12:43Z,0.2,U,S,JB,8
2792,TR169,A,-54.72644904,158.843524,306.572083,2018-03-04T01:14:33Z,1.5,U,S,JB,8
2792,TR169,A,-54.72640897,158.843446,316.586243,2018-03-04T01:15:57Z,4.5,U,S,JB,8
2792,TR169,A,-54.72639003,158.843578,308.878174,2018-03-04T01:16:55Z,4.5,D,S,JB,8
2792,TR169,A,-54.72642498,158.843496,307.364899,2018-03-04T01:15:21Z,1.9,U,S,JB,8
2792,TR169,A,-54.72641199,158.843445,315.65448,2018-03-04T01:15:54Z,4.2,U,S,JB,8
2792,TR169,A,-54.72633203,158.843489,301.843445,2018-03-04T01:17:41Z,2.5,U,S,JB,8
2792,TR169,A,-54.72633303,158.843482,302.173523,2018-03-04T01:18:00Z,0.3,U,S,JB,8
2792,TR169,A,-54.72639598,158.843572,302.503204,2018-03-04T01:17:02Z,4,D,S,JB,8
2792,TR169,A,-54.72637402,158.843562,301.905609,2018-03-04T01:17:13Z,4.1,D,S,JB,8
2762,TR166,A,-54.73493898,158.840593,219.403687,2018-03-04T00:00:03Z,7,D,S,JB,5
2762,TR166,A,-54.73496396,158.840582,219.403687,2018-03-04T00:00:19Z,4.3,D,S,JB,5
2763,TR166,A,-54.73518298,158.834899,297.232635,2018-03-03T23:43:19Z,3.5,D,S,JB,2
2763,TR166,A,-54.73517904,158.834888,297.471924,2018-03-03T23:43:29Z,4.2,D,S,JB,2
2762,TR166,A,-54.73497503,158.840567,219.403793,2018-03-04T00:00:33Z,3.6,D,S,JB,5
2762,TR166,A,-54.73497704,158.840567,219.858841,2018-03-04T00:00:38Z,3,D,S,JB,5
2762,TR166,A,-54.73496798,158.840576,219.403687,2018-03-04T00:00:23Z,4.3,D,S,JB,5
2762,TR166,A,-54.734971,158.840571,219.403793,2018-03-04T00:00:29Z,4.2,D,S,JB,5
2762,TR166,A,-54.73508701,158.841501,199.95549,2018-03-04T00:05:23Z,0.6,D,S,JB,5
2762,TR166,A,-54.73505599,158.841478,199.447021,2018-03-04T00:05:36Z,1.8,D,S,JB,5
2762,TR166,A,-54.73499103,158.840561,219.858093,2018-03-04T00:00:46Z,1.9,D,S,JB,5
2762,TR166,A,-54.73509497,158.8415,201.52388,2018-03-04T00:05:09Z,1,D,S,JB,5
2792,TR169,A,-54.72851199,158.845321,210.529282,2018-03-04T01:01:51Z,1,U,S,JB,8
2792,TR169,A,-54.72793498,158.84481,241.018387,2018-03-04T01:04:38Z,0.1,U,S,JB,8
2789,TR168,A,-54.73053999,158.843992,196.947403,2018-03-04T00:45:06Z,2.5,D,S,JB,8
2763,TR166,A,-54.73556704,158.832614,340.918793,2018-03-03T23:36:00Z,3,D,S,JB,2
2763,TR166,A,-54.73552496,158.833139,326.691589,2018-03-03T23:37:16Z,1.5,D,S,JB,2
2760,TR164,A,-54.73034,158.835258,350.389832,2018-03-03T04:44:59Z,2.4,D,S,PP,2
2760,TR164,A,-54.73032701,158.835283,353.055023,2018-03-03T04:45:07Z,2,D,S,PP,2
2763,TR166,A,-54.73536202,158.834256,316.304565,2018-03-03T23:39:16Z,3.5,D,S,JB,2
2763,TR166,A,-54.73536504,158.834272,316.304565,2018-03-03T23:39:20Z,3.4,D,S,JB,2
2763,TR166,A,-54.73549303,158.833161,327.778625,2018-03-03T23:37:23Z,1.5,D,S,JB,2
2763,TR166,A,-54.73549898,158.833498,322.515442,2018-03-03T23:38:08Z,5.5,D,S,JB,2
2763,TR166,A,-54.735272,158.834374,313.202759,2018-03-03T23:41:19Z,2.2,D,S,JB,2
2763,TR166,A,-54.73526797,158.834368,312.662842,2018-03-03T23:41:24Z,2.6,D,S,JB,2
